gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV,TenureGroup,ChurnProbability,RevenueAtRisk,Segment
Female,0,Yes,No,1,Month-to-month,Electronic check,29.85,29.85,0,29.85,0-12,0.7734207604111843,23.086609698273854,At Risk
Male,0,No,No,34,One year,Mailed check,56.95,1889.5,0,1936.3000000000002,24-36,0.1471345995006847,284.8967250131758,Loyal
Male,0,No,No,2,Month-to-month,Mailed check,53.85,108.15,1,107.7,0-12,0.5632485075988183,60.66186426839273,At Risk
Male,0,No,No,45,One year,Bank transfer (automatic),42.3,1840.75,0,1903.4999999999998,36-48,0.08747182428087716,166.50261751864966,Loyal
Female,0,No,No,2,Month-to-month,Electronic check,70.7,151.65,1,141.4,0-12,0.8385680626986084,118.57352406558323,At Risk
Female,0,No,No,8,Month-to-month,Electronic check,99.65,820.5,1,797.2,0-12,0.9006950122576892,718.0340637718299,At Risk
Male,0,No,Yes,22,Month-to-month,Credit card (automatic),89.1,1949.4,0,1960.1999999999998,12-24,0.7484921409658505,1467.19429472126,Critical
Female,0,No,No,10,Month-to-month,Mailed check,29.75,301.9,0,297.5,0-12,0.5654960279749808,168.23506832255677,At Risk
Female,0,Yes,No,28,Month-to-month,Electronic check,104.8,3046.05,1,2934.4,24-36,0.7982244582535325,2342.3098502991656,Critical
Male,0,No,Yes,62,One year,Bank transfer (automatic),56.15,3487.95,0,3481.2999999999997,60-72,0.03380818311569801,117.69642788067948,Loyal
Male,0,Yes,Yes,13,Month-to-month,Mailed check,49.95,587.45,0,649.35,12-24,0.46196456335481545,299.97668921444944,Safe
Male,0,No,No,16,Two year,Credit card (automatic),18.95,326.8,0,303.2,12-24,0.06310107097981316,19.13224472107935,Safe
Male,0,Yes,No,58,One year,Credit card (automatic),100.35,5681.1,0,5820.299999999999,48-60,0.44209828062346934,2573.144622712778,Loyal
Male,0,No,No,49,Month-to-month,Bank transfer (automatic),103.7,5036.3,1,5081.3,48-60,0.6972004433156914,3542.684612620023,Critical
Male,0,No,No,25,Month-to-month,Electronic check,105.5,2686.05,0,2637.5,24-36,0.6804102424522261,1794.5820144677464,Critical
Female,0,Yes,Yes,69,Two year,Credit card (automatic),113.25,7895.15,0,7814.25,60-72,0.08095439695163867,632.5978963793425,Loyal
Female,0,No,No,52,One year,Mailed check,20.65,1022.95,0,1073.8,48-60,0.03792717847365455,40.72620424501026,Safe
Male,0,No,Yes,71,Two year,Bank transfer (automatic),106.7,7382.25,0,7575.7,60-72,0.11754366021189977,890.4755066672891,Loyal
